KOs	colours
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	red,black
K03406	yellow,black
K03406	yellow,black
K06153	yellow,black
K03765	yellow,black
K08591	yellow,black
K01990	yellow,black
K01990	yellow,black
K01990	yellow,black
K01990	yellow,black
K01990	yellow,black
K01990	yellow,black
K03607	yellow,black
K00681	yellow,black
K19307	yellow,black
K09909	yellow,black
K01159	yellow,black
K02450	yellow,black
K02040	yellow,black
K03503	yellow,black
K01894	yellow,black
K00974	yellow,black
K00974	yellow,black
K01303	yellow,black
K01303	yellow,black
K01303	yellow,black
K01303	yellow,black
K01303	yellow,black
K09951	yellow,black
K09951	yellow,black
K09951	yellow,black
K09951	yellow,black
K02342	yellow,black
K02342	yellow,black
K02342	yellow,black
K02342	yellow,black
K00970	yellow,black
K03711	yellow,black
K13700	yellow,black
K01462	yellow,black
K01462	yellow,black
K01462	yellow,black
K03315	yellow,black
K00639	yellow,black
K13282	yellow,black
K07751	yellow,black
K01254	yellow,black
K09807	yellow,black
K20918	red,black
K12982	yellow,black
K07814	yellow,black
K07814	yellow,black
K07814	yellow,black
K07814	yellow,black
K07182	yellow,black
K01256	yellow,black
K02415	yellow,black
K02415	yellow,black
K09794	yellow,black
K11939	yellow,black
K07636	yellow,black
K02014	yellow,black
K02014	yellow,black
K02014	yellow,black
K02014	yellow,black
K02014	red,black
K02014	red,black
K02014	yellow,black
K02014	yellow,black
K02014	red,black
K02014	yellow,black
K02014	red,black
K02014	yellow,black
K02014	yellow,black
K02014	red,black
K02014	red,black
K02014	yellow,black
K02014	red,black
K02014	red,black
K02014	yellow,black
K02014	yellow,black
K02014	red,black
K02014	yellow,black
K02014	yellow,black
K02014	yellow,black
K02014	yellow,black
K02014	yellow,black
K02014	yellow,black
K02014	yellow,black
K02014	yellow,black
K02014	yellow,black
K02014	yellow,black
K02014	yellow,black
K02014	red,black
K02014	yellow,black
K03524	yellow,black
K18676	yellow,black
K19742	yellow,black
K02439	yellow,black
K03645	yellow,black
K21023	yellow,black
K21023	yellow,black
K21023	yellow,black
K21023	yellow,black
K21023	yellow,black
K21023	yellow,black
K21023	yellow,black
K21023	yellow,black
K21023	yellow,black
K21023	yellow,black
K21023	yellow,black
K21023	yellow,black
K21023	yellow,black
K21023	yellow,black
K01443	yellow,black
K06015	yellow,black
K02529	yellow,black
K02529	yellow,black
K02529	yellow,black
K00060	yellow,black
K00075	yellow,black
K03839	yellow,black
K03839	yellow,black
K03839	yellow,black
K06969	yellow,black
K01974	yellow,black
K03797	yellow,black
K03797	yellow,black
K02503	yellow,black
K02503	yellow,black
K06204	yellow,black
K06204	yellow,black
K08968	yellow,black
K14414	yellow,black
K06206	yellow,black
K03550	yellow,black
K01409	yellow,black
K03551	yellow,black
K07657	yellow,black
K00138	red,black
K14415	yellow,black
K06950	yellow,black
K03561	red,black
K03561	yellow,black
K03561	red,black
K03561	yellow,black
K03561	yellow,black
K03603	yellow,black
K03832	yellow,black
K03832	yellow,black
K03832	yellow,black
K03832	yellow,black
K03832	yellow,black
K03629	yellow,black
K08998	yellow,black
K08218	yellow,black
K08224	yellow,black
K03413	yellow,black
K03413	yellow,black
K03413	yellow,black
K03413	yellow,black
K14379	yellow,black
K02914	yellow,black
K03217	yellow,black
K03559	yellow,black
K03559	yellow,black
K03559	yellow,black
K03559	yellow,black
K05896	yellow,black
K03798	yellow,black
K06178	red,black
K18622	yellow,black
K06024	yellow,black
K03885	yellow,black
K04085	yellow,black
K02392	yellow,black
K02392	yellow,black
K07566	yellow,black
K07566	yellow,black
K02422	yellow,black
K02422	yellow,black
K01659	red,black
K02393	yellow,black
K02393	yellow,black
K11927	yellow,black
K11927	yellow,black
K11927	yellow,black
K01883	yellow,black
K03501	yellow,black
K20509	yellow,black
K00346	yellow,black
K09160	yellow,black
K01879	red,black
K02394	yellow,black
K02394	yellow,black
K03075	yellow,black
K07574	yellow,black
K02395	yellow,black
K02395	yellow,black
K01878	yellow,black
K00347	yellow,black
K06911	yellow,black
K06911	yellow,black
K08309	yellow,black
K02397	yellow,black
K02397	yellow,black
K02427	yellow,black
K02396	yellow,black
K02396	yellow,black
K03495	yellow,black
K03536	yellow,black
K00348	yellow,black
K00348	red,black
K03496	yellow,black
K03496	yellow,black
K03496	yellow,black
K01524	yellow,black
K00564	yellow,black
K00564	yellow,black
K03497	red,black
K07231	yellow,black
K02407	yellow,black
K02407	yellow,black
K02406	yellow,black
K02406	yellow,black
K02406	yellow,black
K02406	red,black
K02406	red,black
K02406	yellow,black
K02406	yellow,black
K02406	yellow,black
K03650	yellow,black
K07486	yellow,black
K07486	yellow,black
K07486	yellow,black
K07486	yellow,black
K07121	yellow,black
K09939	yellow,black
K03582	yellow,black
K02313	yellow,black
K06175	yellow,black
K19055	yellow,black
K11391	yellow,black
K03583	yellow,black
K03811	yellow,black
K07320	yellow,black
K15724	yellow,black
K09912	yellow,black
K03581	yellow,black
K03581	yellow,black
K07056	yellow,black
K03768	red,black
K02338	yellow,black
K04774	yellow,black
K00937	yellow,black
K03386	yellow,black
K06205	yellow,black
K06205	yellow,black
K07053	yellow,black
K07053	yellow,black
K07286	yellow,black
K07251	yellow,black
K05527	yellow,black
K02470	yellow,black
K06603	yellow,black
K06603	yellow,black
K01029	yellow,black
K05515	yellow,black
K07289	yellow,black
K00243	yellow,black
K06168	yellow,black
K02469	yellow,black
K01028	yellow,black
K06194	yellow,black
K24136	yellow,black
K24136	yellow,black
K01991	red,black
K01991	yellow,black
K01991	yellow,black
K03412	yellow,black
K03412	yellow,black
K14998	yellow,black
K07258	yellow,black
K07729	yellow,black
K07729	yellow,black
K07729	yellow,black
K09710	yellow,black
K03407	yellow,black
K03407	yellow,black
K07113	yellow,black
K03820	yellow,black
K03411	yellow,black
K03565	yellow,black
K03773	yellow,black
K03772	yellow,black
K03772	yellow,black
K03772	yellow,black
K05589	yellow,black
K11107	yellow,black
K02386	yellow,black
K02386	yellow,black
K02387	yellow,black
K02387	yellow,black
K05788	yellow,black
K04078	yellow,black
K01869	red,black
K02390	yellow,black
K02390	yellow,black
K01058	yellow,black
K01104	yellow,black
K01104	yellow,black
K01104	yellow,black
K01893	yellow,black
K19428	yellow,black
K16692	yellow,black
K16692	yellow,black
K22292	yellow,black
K08679	yellow,black
K02340	yellow,black
K05837	yellow,black
K00783	yellow,black
K00573	yellow,black
K09973	yellow,black
K03643	yellow,black
K02398	yellow,black
K02398	yellow,black
K02399	yellow,black
K02399	yellow,black
K02945	red,black
K03642	yellow,black
K01082	yellow,black
K01082	yellow,black
K01082	yellow,black
K02389	yellow,black
K02389	yellow,black
K00575	yellow,black
K00575	yellow,black
K00575	yellow,black
K02388	yellow,black
K02388	yellow,black
K00945	yellow,black
K19804	yellow,black
K01091	yellow,black
K01091	yellow,black
K01091	yellow,black
K04077	yellow,black
K01872	yellow,black
K07152	yellow,black
K07146	yellow,black
K01791	red,black
K01791	yellow,black
K08992	yellow,black
K06217	yellow,black
K01356	yellow,black
K03408	yellow,black
K03408	red,black
K15915	yellow,black
K07042	yellow,black
K06189	yellow,black
K06176	yellow,black
K04770	yellow,black
K02472	yellow,black
K03787	yellow,black
K03208	yellow,black
K03208	yellow,black
K00661	yellow,black
K00661	yellow,black
K15913	yellow,black
K21478	yellow,black
K09860	yellow,black
K09860	yellow,black
K07093	yellow,black
K06987	yellow,black
K07074	yellow,black
K21703	yellow,black
K21703	yellow,black
K20964	yellow,black
K01406	yellow,black
K01406	yellow,black
K07261	yellow,black
K07274	yellow,black
K07274	yellow,black
K09117	yellow,black
K02687	yellow,black
K13985	yellow,black
K03764	yellow,black
K06999	yellow,black
K03439	yellow,black
K03439	yellow,black
K09921	yellow,black
K09935	yellow,black
K00432	yellow,black
K00432	yellow,black
K00432	yellow,black
K00989	yellow,black
K02839	yellow,black
K07014	yellow,black
K02970	yellow,black
K02356	yellow,black
K02356	yellow,black
K21606	yellow,black
K21606	yellow,black
K16137	yellow,black
K06899	yellow,black
K12573	yellow,black
K19745	yellow,black
K05540	yellow,black
K08306	yellow,black
K03086	yellow,black
K02558	yellow,black
K09790	yellow,black
K02410	yellow,black
K02411	yellow,black
K08316	yellow,black
K19810	yellow,black
K03719	yellow,black
K03719	yellow,black
K03719	yellow,black
K03719	yellow,black
K03719	yellow,black
K07337	yellow,black
K09859	yellow,black
K01183	yellow,black
K01183	yellow,black
K01183	yellow,black
K04763	yellow,black
K04763	yellow,black
K04763	yellow,black
K04763	yellow,black
K09904	yellow,black
